Employee ID,Transaction Amount,Transaction Date,Category
EMP_017,77.66,2026-01-01 20:45:00,Travel
EMP_008,15.22,2026-01-01 21:00:00,Office Supplies
EMP_003,276.37,2026-01-01 21:15:00,Travel
EMP_003,73.51,2026-01-01 21:30:00,Hardware
EMP_001,232.97,2026-01-01 21:45:00,Hardware
EMP_005,77.59,2026-01-01 22:00:00,Meals
EMP_010,306.07,2026-01-01 22:15:00,Meals
EMP_007,47.18,2026-01-01 22:30:00,Meals
EMP_009,560.64,2026-01-01 22:45:00,Hardware
EMP_007,236.95,2026-01-01 23:00:00,Travel
EMP_009,28.2,2026-01-01 23:15:00,Travel
EMP_008,135.13,2026-01-01 23:30:00,Meals
EMP_012,643.67,2026-01-01 23:45:00,Office Supplies
EMP_002,105.53,2026-01-02 00:00:00,Travel
EMP_001,40.15,2026-01-02 00:15:00,Hardware
EMP_016,109.47,2026-01-02 00:30:00,Software
EMP_005,117.76,2026-01-02 00:45:00,Software
EMP_003,213.04,2026-01-02 01:00:00,Software
EMP_012,190.02,2026-01-02 01:15:00,Office Supplies
EMP_008,87.26,2026-01-02 01:30:00,Meals
EMP_003,46.89,2026-01-02 01:45:00,Hardware
EMP_001,165.37,2026-01-02 02:00:00,Office Supplies
EMP_003,92.15,2026-01-02 02:15:00,Hardware
EMP_005,31.28,2026-01-02 02:30:00,Hardware
EMP_015,356.25,2026-01-02 02:45:00,Meals
EMP_014,186.27,2026-01-02 03:00:00,Software
EMP_003,182.42,2026-01-02 03:15:00,Meals
EMP_001,269.39,2026-01-02 03:30:00,Office Supplies
EMP_005,123.15,2026-01-02 03:45:00,Office Supplies
EMP_014,263.15,2026-01-02 04:00:00,Office Supplies
EMP_007,113.4,2026-01-02 04:15:00,Meals
EMP_009,20.43,2026-01-02 04:30:00,Hardware
EMP_015,87.94,2026-01-02 04:45:00,Hardware
EMP_015,113.21,2026-01-02 05:00:00,Travel
EMP_010,201.05,2026-01-02 05:15:00,Office Supplies
EMP_013,26.9,2026-01-02 05:30:00,Hardware
EMP_019,32.63,2026-01-02 05:45:00,Travel
EMP_007,55.91,2026-01-02 06:00:00,Hardware
EMP_017,56.49,2026-01-02 06:15:00,Office Supplies
EMP_020,207.62,2026-01-02 06:30:00,Software
EMP_004,53.3,2026-01-02 06:45:00,Office Supplies
EMP_005,160.4,2026-01-02 07:00:00,Meals
EMP_007,112.26,2026-01-02 07:15:00,Hardware
EMP_013,137.75,2026-01-02 07:30:00,Hardware
EMP_015,283.12,2026-01-02 07:45:00,Meals
EMP_011,87.72,2026-01-02 08:00:00,Meals
EMP_004,231.05,2026-01-02 08:15:00,Software
EMP_013,92.24,2026-01-02 08:30:00,Hardware
EMP_007,75.51,2026-01-02 08:45:00,Hardware
EMP_019,487.77,2026-01-02 09:00:00,Software
EMP_002,40.57,2026-01-02 09:15:00,Travel
EMP_010,24.2,2026-01-02 09:30:00,Software
EMP_013,231.1,2026-01-02 09:45:00,Office Supplies
EMP_006,20.6,2026-01-02 10:00:00,Hardware
EMP_012,282.17,2026-01-02 10:15:00,Meals
EMP_012,96.22,2026-01-02 10:30:00,Office Supplies
EMP_020,380.67,2026-01-02 10:45:00,Hardware
EMP_011,201.77,2026-01-02 11:00:00,Software
EMP_007,151.4,2026-01-02 11:15:00,Office Supplies
EMP_001,457.29,2026-01-02 11:30:00,Hardware
EMP_001,85.79,2026-01-02 11:45:00,Travel
EMP_020,472.15,2026-01-02 12:00:00,Travel
EMP_013,31.75,2026-01-02 12:15:00,Meals
EMP_009,109.18,2026-01-02 12:30:00,Hardware
EMP_003,57.19,2026-01-02 12:45:00,Travel
EMP_007,126.43,2026-01-02 13:00:00,Software
EMP_006,36.51,2026-01-02 13:15:00,Hardware
EMP_008,286.33,2026-01-02 13:30:00,Software
EMP_009,291.02,2026-01-02 13:45:00,Software
EMP_005,475.95,2026-01-02 14:00:00,Travel
EMP_001,35.2,2026-01-02 14:15:00,Hardware
EMP_019,156.46,2026-01-02 14:30:00,Office Supplies
EMP_010,106.44,2026-01-02 14:45:00,Travel
EMP_012,73.33,2026-01-02 15:00:00,Travel
EMP_015,74.97,2026-01-02 15:15:00,Hardware
EMP_009,89.86,2026-01-02 15:30:00,Hardware
EMP_020,193.08,2026-01-02 15:45:00,Software
EMP_017,146.8,2026-01-02 16:00:00,Hardware
EMP_017,102.34,2026-01-02 16:15:00,Software
EMP_020,21.85,2026-01-02 16:30:00,Travel
EMP_012,22.14,2026-01-02 16:45:00,Meals
EMP_007,10.35,2026-01-02 17:00:00,Office Supplies
EMP_002,524.9,2026-01-02 17:15:00,Travel
EMP_003,10.79,2026-01-02 17:30:00,Hardware
EMP_017,26.32,2026-01-02 17:45:00,Office Supplies
EMP_005,66.66,2026-01-02 18:00:00,Meals
EMP_017,257.09,2026-01-02 18:15:00,Meals
EMP_017,500.92,2026-01-02 18:30:00,Software
EMP_017,244.11,2026-01-02 18:45:00,Office Supplies
EMP_002,185.95,2026-01-02 19:00:00,Software
EMP_002,120.5,2026-01-02 19:15:00,Travel
EMP_005,23.6,2026-01-02 19:30:00,Office Supplies
EMP_001,486.12,2026-01-02 19:45:00,Travel
EMP_001,223.07,2026-01-02 20:00:00,Software
EMP_019,162.81,2026-01-02 20:15:00,Office Supplies
EMP_002,223.47,2026-01-02 20:30:00,Software
EMP_012,203.16,2026-01-02 20:45:00,Office Supplies
EMP_006,162.1,2026-01-02 21:00:00,Software
EMP_004,601.19,2026-01-02 21:15:00,Meals
EMP_011,360.52,2026-01-02 21:30:00,Software
EMP_017,166.05,2026-01-02 21:45:00,Meals
EMP_006,187.22,2026-01-02 22:00:00,Software
EMP_005,17.95,2026-01-02 22:15:00,Office Supplies
EMP_020,176.26,2026-01-02 22:30:00,Office Supplies
EMP_002,16.78,2026-01-02 22:45:00,Office Supplies
EMP_006,143.11,2026-01-02 23:00:00,Hardware
EMP_011,1111.59,2026-01-02 23:15:00,Travel
EMP_016,131.72,2026-01-02 23:30:00,Office Supplies
EMP_016,106.14,2026-01-02 23:45:00,Meals
EMP_001,66.28,2026-01-03 00:00:00,Office Supplies
EMP_009,29.26,2026-01-03 00:15:00,Hardware
EMP_006,206.97,2026-01-03 00:30:00,Meals
EMP_016,42.09,2026-01-03 00:45:00,Hardware
EMP_003,28.37,2026-01-03 01:00:00,Meals
EMP_020,92.17,2026-01-03 01:15:00,Software
EMP_004,247.96,2026-01-03 01:30:00,Travel
EMP_019,215.01,2026-01-03 01:45:00,Travel
EMP_003,18.47,2026-01-03 02:00:00,Hardware
EMP_019,101.08,2026-01-03 02:15:00,Travel
EMP_020,120.86,2026-01-03 02:30:00,Hardware
EMP_007,165.15,2026-01-03 02:45:00,Hardware
EMP_020,167.55,2026-01-03 03:00:00,Hardware
EMP_009,78.05,2026-01-03 03:15:00,Travel
EMP_001,133.38,2026-01-03 03:30:00,Hardware
EMP_008,108.4,2026-01-03 03:45:00,Travel
EMP_007,334.42,2026-01-03 04:00:00,Hardware
EMP_018,123.34,2026-01-03 04:15:00,Office Supplies
EMP_008,97.25,2026-01-03 04:30:00,Hardware
EMP_001,87.75,2026-01-03 04:45:00,Meals
EMP_011,137.44,2026-01-03 05:00:00,Hardware
EMP_018,254.43,2026-01-03 05:15:00,Software
EMP_010,125.96,2026-01-03 05:30:00,Hardware
EMP_003,172.55,2026-01-03 05:45:00,Meals
EMP_007,210.83,2026-01-03 06:00:00,Meals
EMP_016,120.15,2026-01-03 06:15:00,Travel
EMP_016,93.48,2026-01-03 06:30:00,Office Supplies
EMP_020,323.93,2026-01-03 06:45:00,Hardware
EMP_017,91.07,2026-01-03 07:00:00,Travel
EMP_002,102.97,2026-01-03 07:15:00,Office Supplies
EMP_001,705.98,2026-01-03 07:30:00,Hardware
EMP_016,10.04,2026-01-03 07:45:00,Software
EMP_012,40.77,2026-01-03 08:00:00,Hardware
EMP_005,82.67,2026-01-03 08:15:00,Meals
EMP_005,414.54,2026-01-03 08:30:00,Meals
EMP_009,20.89,2026-01-03 08:45:00,Software
EMP_009,11.43,2026-01-03 09:00:00,Travel
EMP_003,18.12,2026-01-03 09:15:00,Office Supplies
EMP_019,23.91,2026-01-03 09:30:00,Hardware
EMP_016,15.75,2026-01-03 09:45:00,Meals
EMP_016,108.03,2026-01-03 10:00:00,Travel
EMP_003,140.4,2026-01-03 10:15:00,Software
EMP_020,57.55,2026-01-03 10:30:00,Meals
EMP_001,86.2,2026-01-03 10:45:00,Software
EMP_020,24.43,2026-01-03 11:00:00,Hardware
EMP_011,71.5,2026-01-03 11:15:00,Office Supplies
EMP_017,120.88,2026-01-03 11:30:00,Meals
EMP_008,207.67,2026-01-03 11:45:00,Meals
EMP_004,10.5,2026-01-03 12:00:00,Hardware
EMP_006,104.47,2026-01-03 12:15:00,Travel
EMP_008,62.86,2026-01-03 12:30:00,Office Supplies
EMP_020,297.42,2026-01-03 12:45:00,Meals
EMP_003,198.58,2026-01-03 13:00:00,Office Supplies
EMP_016,143.41,2026-01-03 13:15:00,Meals
EMP_003,58.71,2026-01-03 13:30:00,Office Supplies
EMP_018,371.76,2026-01-03 13:45:00,Software
EMP_014,16.92,2026-01-03 14:00:00,Meals
EMP_018,27.39,2026-01-03 14:15:00,Office Supplies
EMP_002,84.55,2026-01-03 14:30:00,Travel
EMP_003,29.93,2026-01-03 14:45:00,Software
EMP_016,479.96,2026-01-03 15:00:00,Software
EMP_009,249.92,2026-01-03 15:15:00,Travel
EMP_004,54.96,2026-01-03 15:30:00,Office Supplies
EMP_001,143.21,2026-01-03 15:45:00,Hardware
EMP_004,615.39,2026-01-03 16:00:00,Travel
EMP_001,333.38,2026-01-03 16:15:00,Office Supplies
EMP_014,147.74,2026-01-03 16:30:00,Travel
EMP_016,361.08,2026-01-03 16:45:00,Travel
EMP_020,689.02,2026-01-03 17:00:00,Meals
EMP_008,214.01,2026-01-03 17:15:00,Office Supplies
EMP_007,20.08,2026-01-03 17:30:00,Hardware
EMP_003,87.02,2026-01-03 17:45:00,Meals
EMP_017,282.86,2026-01-03 18:00:00,Travel
EMP_001,49.32,2026-01-03 18:15:00,Travel
EMP_016,276.36,2026-01-03 18:30:00,Travel
EMP_012,29.23,2026-01-03 18:45:00,Office Supplies
EMP_019,17.21,2026-01-03 19:00:00,Office Supplies
EMP_014,82.7,2026-01-03 19:15:00,Meals
EMP_006,15.61,2026-01-03 19:30:00,Hardware
EMP_006,482.93,2026-01-03 19:45:00,Meals
EMP_013,272.48,2026-01-03 20:00:00,Software
EMP_019,251.99,2026-01-03 20:15:00,Travel
EMP_008,159.05,2026-01-03 20:30:00,Travel
EMP_002,46.56,2026-01-03 20:45:00,Travel
EMP_001,119.55,2026-01-03 21:00:00,Meals
EMP_015,146.42,2026-01-03 21:15:00,Meals
EMP_001,121.68,2026-01-03 21:30:00,Travel
EMP_005,55.21,2026-01-03 21:45:00,Meals
EMP_016,118.62,2026-01-03 22:00:00,Office Supplies
EMP_019,111.35,2026-01-03 22:15:00,Office Supplies
EMP_004,851.37,2026-01-03 22:30:00,Meals
EMP_003,351.59,2026-01-03 22:45:00,Travel
EMP_017,103.37,2026-01-03 23:00:00,Meals
EMP_017,156.3,2026-01-03 23:15:00,Meals
EMP_012,216.67,2026-01-03 23:30:00,Meals
EMP_014,15.32,2026-01-03 23:45:00,Software
EMP_006,347.96,2026-01-04 00:00:00,Office Supplies
EMP_003,305.05,2026-01-04 00:15:00,Hardware
EMP_009,101.72,2026-01-04 00:30:00,Hardware
EMP_005,84.43,2026-01-04 00:45:00,Software
EMP_017,57.82,2026-01-04 01:00:00,Meals
EMP_014,107.13,2026-01-04 01:15:00,Software
EMP_003,16.81,2026-01-04 01:30:00,Software
EMP_001,296.78,2026-01-04 01:45:00,Travel
EMP_020,15.41,2026-01-04 02:00:00,Office Supplies
EMP_001,69.86,2026-01-04 02:15:00,Hardware
EMP_003,412.33,2026-01-04 02:30:00,Meals
EMP_018,209.32,2026-01-04 02:45:00,Hardware
EMP_010,59.57,2026-01-04 03:00:00,Hardware
EMP_003,53.68,2026-01-04 03:15:00,Office Supplies
EMP_008,10.76,2026-01-04 03:30:00,Hardware
EMP_014,188.47,2026-01-04 03:45:00,Hardware
EMP_018,17.5,2026-01-04 04:00:00,Software
EMP_015,124.09,2026-01-04 04:15:00,Office Supplies
EMP_002,501.01,2026-01-04 04:30:00,Travel
EMP_010,27.39,2026-01-04 04:45:00,Meals
EMP_002,347.33,2026-01-04 05:00:00,Hardware
EMP_017,724.72,2026-01-04 05:15:00,Meals
EMP_008,19.52,2026-01-04 05:30:00,Travel
EMP_001,331.72,2026-01-04 05:45:00,Meals
EMP_009,118.88,2026-01-04 06:00:00,Travel
EMP_011,365.49,2026-01-04 06:15:00,Software
EMP_016,137.06,2026-01-04 06:30:00,Hardware
EMP_007,172.76,2026-01-04 06:45:00,Travel
EMP_010,127.72,2026-01-04 07:00:00,Meals
EMP_003,309.81,2026-01-04 07:15:00,Hardware
EMP_018,208.59,2026-01-04 07:30:00,Software
EMP_013,120.49,2026-01-04 07:45:00,Hardware
EMP_007,313.93,2026-01-04 08:00:00,Travel
EMP_004,52.21,2026-01-04 08:15:00,Software
EMP_013,35.68,2026-01-04 08:30:00,Meals
EMP_020,36.22,2026-01-04 08:45:00,Software
EMP_001,70.97,2026-01-04 09:00:00,Software
EMP_008,50.91,2026-01-04 09:15:00,Office Supplies
EMP_014,409.08,2026-01-04 09:30:00,Software
EMP_016,26.78,2026-01-04 09:45:00,Software
EMP_014,190.09,2026-01-04 10:00:00,Hardware
EMP_012,41.46,2026-01-04 10:15:00,Meals
EMP_019,330.1,2026-01-04 10:30:00,Hardware
EMP_015,497.85,2026-01-04 10:45:00,Hardware
EMP_002,103.96,2026-01-04 11:00:00,Travel
EMP_002,326.88,2026-01-04 11:15:00,Hardware
EMP_019,10.77,2026-01-04 11:30:00,Office Supplies
EMP_017,267.18,2026-01-04 11:45:00,Office Supplies
EMP_020,48.94,2026-01-04 12:00:00,Travel
EMP_010,369.04,2026-01-04 12:15:00,Meals
EMP_006,10.17,2026-01-04 12:30:00,Meals
EMP_015,131.85,2026-01-04 12:45:00,Hardware
EMP_011,221.98,2026-01-04 13:00:00,Hardware
EMP_005,54.9,2026-01-04 13:15:00,Hardware
EMP_001,42.19,2026-01-04 13:30:00,Meals
EMP_008,23.18,2026-01-04 13:45:00,Software
EMP_012,69.28,2026-01-04 14:00:00,Office Supplies
EMP_012,133.09,2026-01-04 14:15:00,Software
EMP_005,28.47,2026-01-04 14:30:00,Software
EMP_007,80.91,2026-01-04 14:45:00,Meals
EMP_004,11.37,2026-01-04 15:00:00,Software
EMP_006,266.12,2026-01-04 15:15:00,Travel
EMP_013,30.62,2026-01-04 15:30:00,Hardware
EMP_020,59.97,2026-01-04 15:45:00,Travel
EMP_015,12.79,2026-01-04 16:00:00,Office Supplies
EMP_003,94.91,2026-01-04 16:15:00,Hardware
EMP_008,285.0,2026-01-04 16:30:00,Software
EMP_020,84.67,2026-01-04 16:45:00,Office Supplies
EMP_016,39.68,2026-01-04 17:00:00,Hardware
EMP_013,220.18,2026-01-04 17:15:00,Software
EMP_018,243.25,2026-01-04 17:30:00,Travel
EMP_010,38.63,2026-01-04 17:45:00,Hardware
EMP_019,231.01,2026-01-04 18:00:00,Software
EMP_017,451.46,2026-01-04 18:15:00,Travel
EMP_019,37.3,2026-01-04 18:30:00,Office Supplies
EMP_005,231.09,2026-01-04 18:45:00,Office Supplies
EMP_009,194.94,2026-01-04 19:00:00,Office Supplies
EMP_012,106.25,2026-01-04 19:15:00,Office Supplies
EMP_001,18.95,2026-01-04 19:30:00,Meals
EMP_001,21.64,2026-01-04 19:45:00,Hardware
EMP_015,297.0,2026-01-04 20:00:00,Hardware
EMP_002,703.02,2026-01-04 20:15:00,Meals
EMP_016,179.08,2026-01-04 20:30:00,Software
EMP_008,98.58,2026-01-04 20:45:00,Software
EMP_013,166.44,2026-01-04 21:00:00,Office Supplies
EMP_001,145.36,2026-01-04 21:15:00,Travel
EMP_016,82.58,2026-01-04 21:30:00,Software
EMP_007,20.18,2026-01-04 21:45:00,Travel
EMP_005,268.49,2026-01-04 22:00:00,Hardware
EMP_003,79.74,2026-01-04 22:15:00,Travel
EMP_012,266.21,2026-01-04 22:30:00,Hardware
EMP_016,53.65,2026-01-04 22:45:00,Meals
EMP_019,10.15,2026-01-04 23:00:00,Meals
EMP_005,35.96,2026-01-04 23:15:00,Office Supplies
EMP_014,104.82,2026-01-04 23:30:00,Software
EMP_005,443.18,2026-01-04 23:45:00,Office Supplies
EMP_015,26.17,2026-01-05 00:00:00,Hardware
EMP_017,298.84,2026-01-05 00:15:00,Office Supplies
EMP_014,122.31,2026-01-05 00:30:00,Travel
EMP_020,272.24,2026-01-05 00:45:00,Hardware
EMP_005,63.15,2026-01-05 01:00:00,Meals
EMP_012,284.84,2026-01-05 01:15:00,Software
EMP_016,232.3,2026-01-05 01:30:00,Hardware
EMP_016,49.22,2026-01-05 01:45:00,Hardware
EMP_007,31.12,2026-01-05 02:00:00,Travel
EMP_004,313.8,2026-01-05 02:15:00,Software
EMP_001,505.49,2026-01-05 02:30:00,Meals
EMP_005,14.77,2026-01-05 02:45:00,Hardware
EMP_010,207.11,2026-01-05 03:00:00,Hardware
EMP_005,370.4,2026-01-05 03:15:00,Travel
EMP_004,302.11,2026-01-05 03:30:00,Office Supplies
EMP_002,510.82,2026-01-05 03:45:00,Meals
EMP_020,224.13,2026-01-05 04:00:00,Software
EMP_010,97.59,2026-01-05 04:15:00,Hardware
EMP_019,66.08,2026-01-05 04:30:00,Hardware
EMP_001,68.01,2026-01-05 04:45:00,Meals
EMP_005,203.33,2026-01-05 05:00:00,Office Supplies
EMP_013,215.47,2026-01-05 05:15:00,Hardware
EMP_004,43.54,2026-01-05 05:30:00,Meals
EMP_016,313.88,2026-01-05 05:45:00,Travel
EMP_016,198.25,2026-01-05 06:00:00,Office Supplies
EMP_002,134.09,2026-01-05 06:15:00,Software
EMP_017,105.67,2026-01-05 06:30:00,Hardware
EMP_020,127.54,2026-01-05 06:45:00,Meals
EMP_012,36.02,2026-01-05 07:00:00,Travel
EMP_018,44.17,2026-01-05 07:15:00,Software
EMP_003,24.34,2026-01-05 07:30:00,Meals
EMP_001,35.02,2026-01-05 07:45:00,Meals
EMP_001,100.69,2026-01-05 08:00:00,Software
EMP_019,123.37,2026-01-05 08:15:00,Travel
EMP_011,12.7,2026-01-05 08:30:00,Travel
EMP_005,249.03,2026-01-05 08:45:00,Office Supplies
EMP_012,62.26,2026-01-05 09:00:00,Hardware
EMP_003,374.28,2026-01-05 09:15:00,Software
EMP_001,524.03,2026-01-05 09:30:00,Software
EMP_001,40.77,2026-01-05 09:45:00,Software
EMP_008,103.01,2026-01-05 10:00:00,Travel
EMP_010,10.18,2026-01-05 10:15:00,Hardware
EMP_011,146.82,2026-01-05 10:30:00,Office Supplies
EMP_012,150.21,2026-01-05 10:45:00,Meals
EMP_013,52.66,2026-01-05 11:00:00,Meals
EMP_012,132.61,2026-01-05 11:15:00,Software
EMP_014,48.34,2026-01-05 11:30:00,Hardware
EMP_002,36.3,2026-01-05 11:45:00,Travel
EMP_019,168.13,2026-01-05 12:00:00,Hardware
EMP_018,69.16,2026-01-05 12:15:00,Hardware
EMP_003,143.84,2026-01-05 12:30:00,Travel
EMP_017,95.17,2026-01-05 12:45:00,Software
EMP_008,633.61,2026-01-05 13:00:00,Hardware
EMP_010,34.3,2026-01-05 13:15:00,Meals
EMP_002,103.71,2026-01-05 13:30:00,Travel
EMP_019,181.13,2026-01-05 13:45:00,Office Supplies
EMP_009,85.51,2026-01-05 14:00:00,Software
EMP_007,561.54,2026-01-05 14:15:00,Travel
EMP_004,201.96,2026-01-05 14:30:00,Office Supplies
EMP_018,170.5,2026-01-05 14:45:00,Office Supplies
EMP_013,222.24,2026-01-05 15:00:00,Hardware
EMP_011,467.52,2026-01-05 15:15:00,Hardware
EMP_004,367.6,2026-01-05 15:30:00,Hardware
EMP_004,203.26,2026-01-05 15:45:00,Travel
EMP_010,217.44,2026-01-05 16:00:00,Travel
EMP_005,33.66,2026-01-05 16:15:00,Software
EMP_009,26.27,2026-01-05 16:30:00,Hardware
EMP_003,136.91,2026-01-05 16:45:00,Office Supplies
EMP_017,12.78,2026-01-05 17:00:00,Meals
EMP_003,108.77,2026-01-05 17:15:00,Software
EMP_016,45.42,2026-01-05 17:30:00,Travel
EMP_004,73.7,2026-01-05 17:45:00,Software
EMP_018,234.29,2026-01-05 18:00:00,Software
EMP_017,435.14,2026-01-05 18:15:00,Software
EMP_007,21.28,2026-01-05 18:30:00,Software
EMP_005,124.61,2026-01-05 18:45:00,Meals
EMP_012,331.24,2026-01-05 19:00:00,Hardware
EMP_017,22.92,2026-01-05 19:15:00,Office Supplies
EMP_013,271.03,2026-01-05 19:30:00,Software
EMP_003,76.43,2026-01-05 19:45:00,Software
EMP_009,68.31,2026-01-05 20:00:00,Software
EMP_017,578.91,2026-01-05 20:15:00,Hardware
EMP_017,43.63,2026-01-05 20:30:00,Travel
EMP_020,187.23,2026-01-05 20:45:00,Travel
EMP_016,268.43,2026-01-05 21:00:00,Meals
EMP_013,16.31,2026-01-05 21:15:00,Travel
EMP_019,176.47,2026-01-05 21:30:00,Software
EMP_017,464.08,2026-01-05 21:45:00,Software
EMP_004,29.9,2026-01-05 22:00:00,Software
EMP_012,349.82,2026-01-05 22:15:00,Meals
EMP_009,145.5,2026-01-05 22:30:00,Software
EMP_019,153.8,2026-01-05 22:45:00,Travel
EMP_012,152.38,2026-01-05 23:00:00,Hardware
EMP_009,63.25,2026-01-05 23:15:00,Hardware
EMP_007,420.47,2026-01-05 23:30:00,Office Supplies
EMP_014,451.61,2026-01-05 23:45:00,Travel
EMP_020,157.25,2026-01-06 00:00:00,Software
EMP_019,239.47,2026-01-06 00:15:00,Hardware
EMP_015,152.11,2026-01-06 00:30:00,Travel
EMP_016,109.36,2026-01-06 00:45:00,Hardware
EMP_005,172.18,2026-01-06 01:00:00,Software
EMP_003,130.78,2026-01-06 01:15:00,Hardware
EMP_012,146.5,2026-01-06 01:30:00,Office Supplies
EMP_020,239.76,2026-01-06 01:45:00,Office Supplies
EMP_004,108.35,2026-01-06 02:00:00,Hardware
EMP_016,16.24,2026-01-06 02:15:00,Travel
EMP_007,36.87,2026-01-06 02:30:00,Travel
EMP_013,96.6,2026-01-06 02:45:00,Travel
EMP_010,203.55,2026-01-06 03:00:00,Hardware
EMP_007,144.94,2026-01-06 03:15:00,Travel
EMP_014,167.6,2026-01-06 03:30:00,Software
EMP_005,107.88,2026-01-06 03:45:00,Office Supplies
EMP_003,153.47,2026-01-06 04:00:00,Software
EMP_011,69.85,2026-01-06 04:15:00,Travel
EMP_011,105.28,2026-01-06 04:30:00,Software
EMP_018,214.55,2026-01-06 04:45:00,Travel
EMP_015,318.16,2026-01-06 05:00:00,Hardware
EMP_012,95.28,2026-01-06 05:15:00,Software
EMP_009,16.7,2026-01-06 05:30:00,Hardware
EMP_010,36.45,2026-01-06 05:45:00,Hardware
EMP_012,13.16,2026-01-06 06:00:00,Meals
